url	status	title	published	file
https://www.omi.me/pages/careers	200	Omi Careers		pages__careers.md
https://www.omi.me/pages/checkout-page-persona	200	Refer a friend		pages__checkout-page-persona.md
https://www.omi.me/pages/coaching	200	Omi For Coaches		pages__coaching.md
https://www.omi.me/pages/collab	200	Collabs		pages__collab.md
https://www.omi.me/pages/contact	200	Contact		pages__contact.md
https://www.omi.me/pages/download-old	200	omi app download		pages__download-old.md
https://www.omi.me/pages/download	200	Omi App Download		pages__download.md
https://www.omi.me/pages/enterprise	200	Omi Enterprise		pages__enterprise.md
https://www.omi.me/pages/gpt	200	omiGPT		pages__gpt.md
https://www.omi.me/pages/healthcare	200	Omi For Healthcare		pages__healthcare.md
https://www.omi.me/pages/manifesto	200	Manifesto		pages__manifesto.md
https://www.omi.me/pages/openglass	200	OpenGlass		pages__openglass.md
https://www.omi.me/pages/privacy	200	Privacy		pages__privacy.md
https://www.omi.me/pages/product	200	Omi AI - Note taker app with AI summarizer, auto tasks and memories		pages__product.md
https://www.omi.me/pages/refer	200	Refer a friend		pages__refer.md
https://www.omi.me/pages/return-refund-policy	200	Return & Refund Policy		pages__return-refund-policy.md
https://www.omi.me/pages/sales	200	Omi for Sales Teams | Record, Summarize & Close 30% More Deals		pages__sales.md
https://www.omi.me/pages/switch	200	Omi Switch		pages__switch.md
https://www.omi.me/pages/swym-wishlist	200	Wishlist		pages__swym-wishlist.md
https://www.omi.me/pages/tag	200	Avada tag page		pages__tag.md
https://www.omi.me/pages/technicians	200	Omi for Technicians | AI Field Notes That Save 10+ Hours Weekly		pages__technicians.md
https://www.omi.me/pages/terms-of-service	200	Terms of Service		pages__terms-of-service.md
